stock,weight,sector
TPR,0.022277,Consumer Discretionary
TRGP,0.050595,Energy
TRMB,0.036617,Information Technology
TROW,0.068216,Financials
TRV,0.103138,Financials
TSCO,0.065604,Consumer Discretionary
TSLA,1.768952,Consumer Discretionary
TSN,0.041029,Consumer Staples
TT,0.124197,Industrials
TTWO,0.058683,Communication Services
TXN,0.405819,Information Technology
TXT,0.041928,Industrials
TYL,0.043174,Information Technology
UAL,0.046196,Industrials
UDR,0.03223,Real Estate
UHS,0.022486,Health Care
ULTA,0.061115,Consumer Discretionary
UNH,1.254539,Health Care
UNP,0.376664,Industrials
UPS,0.346747,Industrials
URI,0.089178,Industrials
USB,0.147074,Financials
V,1.040106,Financials
VFC,0.017644,Consumer Discretionary
VICI,0.083067,Real Estate
VLO,0.130484,Energy
VMC,0.079567,Materials
VRSK,0.090322,Industrials
VRSN,0.049925,Information Technology
VRTX,0.238739,Health Care
VTR,0.046576,Real Estate
VTRS,0.036172,Health Care
VZ,0.37072,Communication Services
WAB,0.054998,Industrials
WAT,0.046041,Health Care
WBA,0.055993,Consumer Staples
WBD,0.083412,Communication Services
WDC,0.035979,Information Technology
WEC,0.072652,Utilities
WELL,0.113,Real Estate
WFC,0.438541,Financials
WHR,0.020275,Consumer Discretionary
WM,0.158619,Industrials
WMB,0.113628,Energy
WMT,0.600761,Consumer Staples
WRB,0.034351,Financials
WRK,0.022993,Materials
WST,0.0792,Health Care
WTW,0.0574,Financials
WY,0.065438,Real Estate
WYNN,0.029087,Consumer Discretionary
XEL,0.086901,Utilities
XOM,1.191547,Energy
XRAY,0.022177,Health Care
XYL,0.06522,Industrials
YUM,0.100989,Consumer Discretionary
ZBH,0.069917,Health Care
ZBRA,0.035175,Information Technology
ZION,0.015044,Financials
ZTS,0.233768,Health Care
