,stock,class,p_values
316,MRNA,no change/RTC,"[0.5551970552941388, 9.479084184249587e-13]"
317,MRO,decreasing,"[1.9984014443252818e-15, 0]"
318,MS,no change,"[0.26331095314263586, 0]"
319,MSCI,increasing,"[6.727951529228449e-13, 0]"
320,MSFT,increasing,"[0.0, 0]"
321,MSI,increasing,"[0.0, 0]"
322,MTB,decreasing,"[0.0, 0]"
323,MTCH,decreasing/RTC,"[0.0, 3.064215547965432e-14]"
324,MTD,increasing/RTC,"[0.0, 1.8165091653088439e-09]"
325,MU,increasing/RTC,"[2.3714363805993344e-13, 0.37226816980617716]"
326,NCLH,no change/RTC,"[0.15449625338774742, 3.3494874415396225e-05]"
327,NDAQ,decreasing,"[0.0, 5.121461238832836e-05]"
328,NDSN,decreasing/RTC,"[0.002479226132065193, 1.438849039914203e-13]"
329,NEE,decreasing,"[3.2529534621517087e-13, 1.4337239351291942e-07]"
330,NEM,increasing/RTC,"[0.0, 0.0551341313631295]"
331,NFLX,increasing,"[0.0, 1.2392179986608909e-06]"
332,NI,increasing/RTC,"[0.01201015428424812, 0.35088319277755575]"
333,NKE,increasing/RTC,"[0.0, 0.6223840035002268]"
334,NOC,decreasing,"[0.0, 0]"
335,NOW,increasing,"[4.357990190939631e-09, 3.838019435598028e-08]"
336,NRG,decreasing/RTC,"[0.0, 1.9198598266711997e-10]"
337,NSC,decreasing/RTC,"[1.6748824549495112e-12, 7.963943937649987e-07]"
338,NTAP,decreasing/RTC,"[4.4326098347369225e-11, 5.995204332975845e-15]"
339,NTRS,decreasing,"[0.0, 0]"
340,NUE,increasing,"[0.0, 0]"
341,NVDA,increasing,"[0.0, 3.743227949826178e-12]"
342,NVR,increasing,"[0.0, 0]"
343,NWL,decreasing,"[0.0, 0]"
344,NWS,no change/RTC,"[0.05462352067140519, 2.220446049250313e-16]"
345,NWSA,increasing,"[0.011853601072003839, 2.4424906541753444e-15]"
346,NXPI,increasing,"[7.445884242507361e-08, 2.220446049250313e-16]"
347,O,decreasing,"[2.220446049250313e-16, 0]"
348,ODFL,increasing,"[0.0, 0.0]"
349,OGN,decreasing,"[0.0, 0]"
350,OKE,increasing,"[0.008928026385829568, 0]"
351,OMC,increasing,"[0.0, 0]"
352,ON,increasing,"[2.220446049250313e-16, 2.886579864025407e-15]"
353,ORCL,increasing,"[0.0, 0]"
354,ORLY,increasing,"[0.0, 0]"
355,OTIS,increasing,"[0.0, 4.079890647545881e-09]"
356,OXY,decreasing/RTC,"[0.0, 2.1664032789914245e-09]"
357,PANW,increasing,"[4.8409879191968486e-06, 0.001975799025943692]"
358,PARA,decreasing,"[0.0, 0]"
359,PAYC,decreasing/RTC,"[0.0, 5.722092982551885e-06]"
360,PAYX,decreasing/RTC,"[0.0, 0.0]"
361,PCAR,increasing,"[0.0, 2.6645352591003757e-15]"
362,PCG,increasing,"[0.0, 0]"
363,PEAK,decreasing,"[0.0, 0]"
364,PEG,increasing,"[3.679753218310822e-05, 0]"
365,PEP,increasing,"[0.0, 0]"
366,PFE,decreasing,"[0.0, 0]"
367,PFG,decreasing,"[2.6695676681232072e-05, 0]"
368,PG,increasing,"[0.0, 0]"
369,PGR,increasing,"[3.171917328792517e-08, 0]"
370,PH,increasing,"[0.0, 0.0]"
371,PHM,increasing,"[0.0, 0]"
372,PKG,increasing,"[3.2541339178848716e-08, 0]"
373,PLD,increasing,"[2.9858560068873885e-11, 0]"
374,PM,increasing,"[0.0010463803038924802, 1.627465919806781e-07]"
375,PNC,decreasing,"[0.0, 0]"
376,PNR,increasing,"[0.0, 0]"
377,PNW,increasing,"[0.0, 0]"
378,PODD,increasing/RTC,"[0.0, 7.355028008859676e-08]"
379,POOL,increasing,"[0.002830164348253339, 1.0764722446765518e-12]"
380,PPG,increasing,"[0.0, 0]"
381,PPL,no change,"[0.16438290260628907, 0.21494141894230334]"
382,PRU,decreasing,"[9.344525153665018e-12, 0]"
383,PSA,decreasing,"[6.120215445548638e-12, 0]"
384,PSX,increasing,"[0.0002618459502932158, 0]"
385,PTC,increasing,"[5.995204332975845e-15, 6.439293542825908e-15]"
386,PWR,increasing,"[0.0, 0.0]"
387,PXD,decreasing,"[0.0, 0]"
388,PYPL,decreasing/RTC,"[0.0, 5.424139864818045e-06]"
389,QCOM,decreasing,"[2.0947024134798653e-05, 0]"
390,QRVO,increasing,"[1.9523396545428895e-05, 2.035616120110717e-11]"
391,RCL,increasing,"[0.0, 0.0]"
392,REG,no change/RTC,"[0.5143348882867662, 0.0]"
393,REGN,increasing/RTC,"[0.0, 0.20077713839988864]"
394,RF,decreasing,"[1.9095836023552692e-14, 0]"
395,RHI,decreasing,"[4.944096236858542e-07, 0]"
396,RJF,decreasing/RTC,"[6.569034205483604e-11, 0.0]"
397,RL,increasing,"[0.0, 4.809486142676178e-13]"
398,RMD,decreasing,"[0.0013517766084649718, 0]"
399,ROK,increasing,"[0.0, 4.3411608956489545e-06]"
400,ROL,increasing,"[0.0, 0]"
401,ROP,increasing,"[0.0, 0]"
402,ROST,increasing,"[2.0865217953414117e-07, 0.0]"
403,RSG,increasing,"[1.1329395199766168e-09, 0]"
404,RTX,increasing,"[0.0008021331587666491, 0]"
405,RVTY,decreasing/RTC,"[0.00031851847585429027, 1.069977151990642e-06]"
406,SBAC,decreasing/RTC,"[0.0, 0.7587961994327166]"
407,SBUX,increasing/RTC,"[0.0, 0.07065302714919142]"
408,SCHW,decreasing,"[1.559685713914405e-11, 0]"
409,SEDG,increasing/RTC,"[0.0002812913632177505, 0.0]"
410,SEE,decreasing/RTC,"[5.398735014594536e-09, 0.08116975936044346]"
411,SHW,no change/RTC,"[0.2685641927612712, 0.0]"
412,SJM,increasing/RTC,"[0.0, 0.10107793660107633]"
413,SLB,increasing,"[1.2492229473082261e-11, 0]"
414,SNA,increasing,"[0.0, 0]"
415,SNPS,increasing/RTC,"[0.0, 0.052274844621249095]"
416,SO,no change,"[0.08305472960694149, 0]"
417,SPG,increasing,"[1.7977869082308473e-07, 0]"
418,SPGI,increasing,"[0.0480429705906118, 1.3060872716685878e-07]"
419,SRE,decreasing/RTC,"[2.9488860242565806e-09, 0.6681159141059725]"
420,STE,increasing,"[0.005401826277396715, 2.220446049250313e-16]"
421,STLD,increasing,"[7.58726415028832e-13, 0]"
422,STT,no change,"[0.9660041466509666, 0]"
423,STX,increasing,"[0.00047295974771444094, 0]"
424,STZ,decreasing/RTC,"[0.0, 0.0]"
425,SWK,no change/RTC,"[0.0972333319638663, 9.103828801926284e-15]"
426,SWKS,increasing,"[0.0, 0]"
427,SYF,decreasing/RTC,"[9.530257296574973e-05, 2.3131008219934301e-10]"
428,SYK,increasing,"[0.0, 0]"
429,SYY,decreasing/RTC,"[2.731148640577885e-14, 0.009743921776109499]"
430,T,decreasing,"[3.4968710815874715e-08, 0]"
431,TAP,increasing,"[0.0, 0]"
432,TDG,increasing,"[0.0, 0]"
433,TDY,increasing,"[3.3662847704896137e-06, 0]"
434,TECH,no change,"[0.10516280273612266, 0]"
435,TEL,increasing,"[0.009097175981675365, 3.965583417198104e-11]"
